Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
LeSean McCoy,PHI,24,RB,12,12,200,840,2,45,34,4.2,70,4,2012
Ryan Mathews,SDG,25,RB,12,9,184,707,1,35,31,3.8,58.9,2,2012
DeAngelo Williams,CAR,29,RB,16,10,173,737,5,34,65,4.3,46.1,2,2012
Willis McGahee,DEN,31,RB,10,9,167,731,4,44,31,4.4,73.1,5,2012
DeMarco Murray,DAL,24,RB,10,10,161,663,4,39,48,4.1,66.3,3,2012
Jonathan Dwyer,PIT,23,RB,13,6,156,623,2,29,34,4,47.9,2,2012
Mark Ingram,NOR,23,RB,16,5,156,602,5,29,31,3.9,37.6,0,2012
Maurice Jones-Drew,JAX,26,RB,16,16,343,1606,8,76,56,4.7,100.4,6,2011
Michael Turner,ATL,29,RB,16,15,301,1340,11,63,81,4.5,83.8,3,2011
Ray Rice,BAL,24,RB,16,16,291,1364,12,54,70,4.7,85.3,2,2011
Marshawn Lynch,SEA,25,RB,15,15,285,1204,12,65,47,4.2,80.3,3,2011
Frank Gore,SFO,28,RB,16,15,282,1211,8,55,55,4.3,75.7,2,2011
Arian Foster,HOU,25,RB,13,13,278,1224,10,58,43,4.4,94.2,6,2011
Cedric Benson,CIN,29,RB,15,15,273,1067,6,51,42,3.9,71.1,5,2011
LeSean McCoy,PHI,23,RB,15,15,273,1309,17,85,60,4.8,87.3,1,2011
Chris Johnson,TEN,26,RB,16,16,262,1047,4,47,48,4,65.4,3,2011
Steven Jackson,STL,28,RB,15,15,260,1145,5,51,47,4.4,76.3,2,2011
Michael Bush,OAK,27,RB,16,9,256,977,7,56,44,3.8,61.1,1,2011
Shonn Greene,NYJ,26,RB,16,15,253,1054,6,46,31,4.2,65.9,1,2011
Willis McGahee,DEN,30,RB,15,14,249,1199,4,53,60,4.8,79.9,4,2011
Beanie Wells,ARI,23,RB,14,14,245,1047,10,48,71,4.3,74.8,4,2011
Rashard Mendenhall,PIT,24,RB,15,15,228,928,9,46,68,4.1,61.9,1,2011
Ryan Mathews,SDG,24,RB,14,14,222,1091,6,51,39,4.9,77.9,5,2011
Reggie Bush,MIA,26,RB,15,15,216,1086,6,41,76,5,72.4,4,2011
Adrian Peterson,MIN,26,RB,12,12,208,970,12,48,54,4.7,80.8,1,2011
Matt Forte,CHI,26,RB,12,12,203,997,3,41,46,4.9,83.1,2,2011
LeGarrette Blount,TAM,25,RB,14,14,184,781,5,32,54,4.2,55.8,5,2011
BenJarvus Green-Ellis,NWE,26,RB,16,6,181,667,11,42,18,3.7,41.7,0,2011
Ben Tate,HOU,23,RB,15,2,175,942,4,53,56,5.4,62.8,4,2011
Ahmad Bradshaw,NYG,25,RB,12,9,171,659,9,41,37,3.9,54.9,1,2011
